timestamp,q[0],q[1],q[2],q[3]
685678915,0.59441584,-0.34421855,0.31100056,0.6568578
685730926,0.5937605,-0.34474522,0.31175697,0.6568157
685782916,0.59386843,-0.34384388,0.31169224,0.6572212
685838914,0.5944273,-0.3427494,0.31100303,0.65761405
685890919,0.59626603,-0.33918682,0.30839694,0.65902245
685942917,0.5968554,-0.33791378,0.308507,0.6590914
685994912,0.5982992,-0.33660057,0.30762962,0.65886426
686046917,0.59925336,-0.3367557,0.3084473,0.6575343
686098917,0.59931725,-0.33792034,0.31000385,0.65614504
686150947,0.5997918,-0.33970663,0.31242672,0.6536351
686202911,0.5992419,-0.34243205,0.31565395,0.65116215
686255837,0.59855556,-0.34624335,0.31956926,0.6478599
686311841,0.5984615,-0.34864378,0.32197472,0.6454639
686363825,0.5973451,-0.3515231,0.32535702,0.6432365
686415827,0.595958,-0.35444647,0.3283811,0.64137954
686467822,0.59436184,-0.35839835,0.33183554,0.63888174
686519726,0.5930531,-0.36111873,0.33351627,0.6376897
686571749,0.5911983,-0.3659025,0.336703,0.6350048
686623718,0.5903208,-0.3677794,0.33761364,0.6342529
686675728,0.5884271,-0.371847,0.34074125,0.6319642
686727825,0.58750445,-0.37368166,0.3419948,0.6310628
686779714,0.5872725,-0.3748636,0.34186226,0.6306493
686831717,0.58673424,-0.3755467,0.34166867,0.6308489
686883767,0.58487946,-0.3778673,0.34302413,0.63044965
686935720,0.5834604,-0.37923098,0.34360647,0.6306287
686987714,0.5830309,-0.3792729,0.34262496,0.6315341
687039736,0.5821773,-0.3796613,0.34236762,0.63222724
687095715,0.58191913,-0.38051054,0.34181243,0.63225484
687147709,0.5811688,-0.38172534,0.34229833,0.63194984
687197348,0.5810428,-0.38197047,0.341979,0.6320904
687249329,0.580128,-0.3831805,0.34352213,0.631361
687305349,0.5805041,-0.3821922,0.34330046,0.6317349
687357327,0.5813978,-0.3812269,0.34235793,0.6320077
687409319,0.5812473,-0.38155094,0.34373194,0.63120425
687461325,0.5809208,-0.3835561,0.3463347,0.6288626
687513318,0.58139837,-0.38466346,0.34755054,0.62707144
687565319,0.5820435,-0.38499713,0.34928972,0.6252994
687617349,0.5829011,-0.3847953,0.3502685,0.62407607
687669319,0.58326274,-0.38612312,0.3529015,0.621429
687725310,0.58378774,-0.3869837,0.3554301,0.61895484
687777312,0.5826159,-0.38931653,0.36037135,0.61573046
687829316,0.5823101,-0.39200526,0.36355227,0.6124351
687882234,0.5857996,-0.3869863,0.3610821,0.61375916
687934912,0.58675593,-0.38716474,0.36212918,0.6121139
687986915,0.58750737,-0.38712057,0.3634373,0.61064404
688038942,0.58729935,-0.3873303,0.36571446,0.6093503
688090912,0.58582145,-0.39023283,0.36946598,0.6066519
688142918,0.5863709,-0.38905,0.36947182,0.60687727
688194932,0.58545,-0.39051038,0.3709985,0.6058962
688246914,0.5831406,-0.3934897,0.3743936,0.6041046
688302964,0.58148175,-0.39595494,0.37625846,0.602933
688354912,0.583478,-0.39268965,0.37296686,0.60518116
688406911,0.58295083,-0.39259714,0.37326413,0.6055658
688458916,0.582169,-0.3935746,0.37393287,0.6052706
688510910,0.5817491,-0.3931783,0.3742014,0.6057659
688562916,0.5800476,-0.39383817,0.37559304,0.6061074
688615823,0.5809672,-0.39216045,0.37363225,0.6075248
688667828,0.57948357,-0.39404327,0.37507617,0.6068334
688719843,0.5758143,-0.3993594,0.3796288,0.60401314
688771829,0.57661533,-0.39789286,0.37712196,0.60578483
688823714,0.57714736,-0.39694667,0.37528044,0.6070412
688875716,0.57688534,-0.39661238,0.37460417,0.6079257
688927748,0.5767485,-0.3962505,0.37328428,0.60910225
688979719,0.57539946,-0.398295,0.37471375,0.60816634
689031717,0.57412285,-0.39832363,0.37418193,0.6096796
689083727,0.5734538,-0.4003515,0.37355167,0.6093675
689135730,0.5708748,-0.40385693,0.37524045,0.60843754
689187712,0.56901544,-0.40447474,0.3758042,0.60942006
689239712,0.566339,-0.40806457,0.37799105,0.60816634
689291711,0.5644751,-0.40852347,0.37892437,0.6090096
689343715,0.5621848,-0.4129756,0.38095978,0.6068519
689395713,0.5607814,-0.4148645,0.38194162,0.6062444
689447727,0.55819905,-0.41778693,0.38458112,0.6049508
689499714,0.5575597,-0.41895384,0.3839512,0.6051334
689552623,0.5574563,-0.41984782,0.38353938,0.6048702
689604618,0.5577458,-0.41938305,0.3823441,0.60568184
689656630,0.5551731,-0.42327154,0.3853082,0.60345805
689708618,0.5588562,-0.41755491,0.37962607,0.6076279
689760513,0.55976164,-0.41634113,0.37770143,0.6088257
689812518,0.5583903,-0.4186729,0.37908024,0.6076277
689864520,0.5576499,-0.4208826,0.3794841,0.6065281
689916517,0.5564688,-0.42117047,0.3803993,0.6068396
689972534,0.56095976,-0.4162619,0.37341973,0.6104162
690024515,0.56265765,-0.41463226,0.37119517,0.61131877
690076526,0.5614526,-0.4161641,0.3725963,0.6105329
690128544,0.56108546,-0.41814134,0.37285778,0.6093588
690180533,0.5592239,-0.42196688,0.3760464,0.60646665
